Model,Quantity,MAE,RMSE,R2,RelL2_pct
LIF-128 (cal),u,0.015388429579384869,0.020530618213760496,0.9952769700372578,4.581616449831071
LIF-128 (conv),u,0.08465734330802677,0.1019147404080941,0.8836167040838073,22.743311783033796
LIF-32 (cal),u,0.030084891080311572,0.034427835459975055,0.9867188376922311,7.682921947755979
LIF-32 (conv),u,0.08146235919113498,0.09935495504203631,0.8893896646136954,22.17206962076385
LIF-64 (cal),u,0.01833185144580892,0.02233479430586474,0.9944104021765119,4.984236710746376
LIF-64 (conv),u,0.07201473158283342,0.09386637179529808,0.901272825101731,20.947236397151094
QIF,u,0.001148128962491968,0.0027296229436384895,0.9999165124019169,0.6091431466018058
