Model,MAE,RMSE,R2,RelL2_pct
LIF-128,0.005134724321731634,0.006502576593085955,0.9995262081349885,1.4511161609931948
LIF-32,0.010674388540191843,0.013970391007313551,0.9978130756020956,3.117634967600714
LIF-64,0.00588715896201507,0.008078546941692029,0.9992687209149749,1.802809987182029
QIF,0.001148128962491968,0.0027296229436384895,0.9999165124019169,0.6091431466018058
